# Control,ID Grupo,Seleccione su identidad de género:,Seleccione la edad a la que pertenece:,Seleccione el nivel socioeconómico al que considere pertenecer:,Seleccione el nivel de estudios de su padre:,Seleccione el nivel de estudios de su madre:,"¿Usted trabaja, aparte de estudiar?",Describa su experiencia con la materia de Química hasta ahora:,Describa que aspectos de la materia de Química le interesan:,Describa cuáles problemas ha tenido con el aprendizaje de la materia de Química:,Describa como se siente usted con su aprendizaje de la materia de Química:,Opine sobre la explicación de los temas por parte del maestro de Química:,¿Con qué frecuencia come algún desayuno ó refrigerio antes de entrar a clases?,¿Cuántas horas duerme en promedio por noche durante la semana de clases?,¿Cómo calificaría la calidad del conocimiento adquirido en la materia de Química hasta ahora?,¿Con qué frecuencia considera que el tiempo asignado al contenido de Química es adecuado para su aprendizaje?,¿Con qué frecuencia siente que la cantidad de contenido en Química es abrumador?,¿Con qué frecuencia cree que la asistencia a clases de Química influye en su rendimiento académico?,¿Con qué frecuencia piensa que la puntualidad en las clases de Química es crucial para el éxito?,¿Con qué frecuencia participa durante las clases de Química?,¿Con qué frecuencia accede al material de apoyo requerido para aprender Química?,¿Con qué frecuencia observa una relación entre el proceso de enseñanza-aprendizaje y las evaluaciones en Química?,¿Cómo describiría su nivel de concentración durante las clases de Química?,"¿Con qué frecuencia siente que comprende los términos, problemas y conceptos en Química de manera efectiva?",¿Cuánta responsabilidad siente hacia la clase de Química?,¿Cuál es su nivel de motivación para la materia de Química?,Pre-Test,Post-Test,Incremento ,Aprobado_Pre-Test,Aprobado_Post-Test
23212494,ge06,Hombre,18,Clase Media,Preparatoria/Bachillerato Técnico terminado o trunco,Secundaria terminada o trunca,No,Interesante por las aplicaciones que tiene ,Comportamiento de elemento y reactividad ,Conceptos y cálculos en cuestión de fórmulas ,Regular,"Explica bastante bien, entendible y claro ",A veces,5 a 6,Regular,Casi siempre,A veces,Casi Siempre,A Veces,A Veces,Casi Nunca,A Veces,Regular,Casi Siempre,Moderada,Bueno,10,0,0,reprobado,reprobado
23212535,ge16,Mujer,18,Clase Media,Preparatoria/Bachillerato Técnico terminado o trunco,Secundaria terminada o trunca,No,Al principio si fue un poquito difícil agarrarle el paso a las explicaciones pero luego fue más claro ,Los experimentos y la manera en manejar la tabla periódica ,Aveces siento que es un poco confuso y se vuelve aburrido ,Pues me siento bien aprendo lo que es y ya,Explica muy bien ,Nunca,5 a 6,Regular,Siempre,A veces,Casi Nunca,A Veces,Casi Nunca,Casi Nunca,A Veces,Regular,A Veces,Moderada,Ni bueno Ni Malo,20,35,15,reprobado,reprobado
23212539,ge17,Hombre,17,Clase Media,Secundaria terminada o trunca,Preparatoria/Bachillerato Técnico terminado o trunco,No,"La materia de quimica ha sido bastante dinámica y entretenida, pero mas que nada es interesante.",La parte práctica o matemática.,Realmente no he tenido problemas con la materia de quimica hasta el momento.,Mi aprendizaje creo yo que ha sido bastante bueno y eficiente.,"El profesor explica bastante bien los temas, además de que también nos incita a los alumnos a participar por puntos, lo cual ayuda bastante a aprender y no se necesita saber mucho para participar ya que el profesor ayuda si alguien se atora, lo cual considero que es una dinamica bastante efectiva para el aprendizaje.",Casi Siempre,5 a 6,Bueno,Siempre,Casi nunca,A veces,A Veces,Casi Siempre,Casi Nunca,Casi Siempre,Bueno,Casi Siempre,Moderada,Bueno,30,75,45,reprobado,aprobado
23212541,ge18,Hombre,18,Clase Media Baja,Primaria terminada o trunca,Primaria terminada o trunca,Sí,"Excelente, demasiado comprensible",Los enlaces,"Al momento de sacar la densidad de bcc, fcc y sc",Inconforme,Muy buenos ,Nunca,Menos de 5,Bueno,A veces,A veces,Siempre,Siempre,Casi Nunca,A Veces,Casi Nunca,Bueno,Casi Siempre,Moderada,Ni bueno Ni Malo,10,40,30,reprobado,reprobado
23212505,gc07,Hombre,18,Clase Media,Licenciatura terminada o trunca,"Posgrados (Maestría, Doctorado, etc.)",No,Buena siento que el docente es muy bueno enseñando su materia ,Aprobarla y aprender cosas que no se,Ninguno ,Bien considero que es muy fácil ,Lo hace ver muy fácil ,Siempre,5 a 6,Bueno,Casi siempre,Casi nunca,Siempre,A Veces,Casi Siempre,Casi Nunca,Casi Siempre,Bueno,Casi Siempre,Moderada,Bueno,20,50,30,reprobado,reprobado
23212761,ge19,Hombre,18,Clase Media,Licenciatura terminada o trunca,Licenciatura terminada o trunca,No,"Bastante comodo, sin cosas negativas.",Aun no se que es lo que mas me llama la atencion.,Aprenderme las formulas.,Siento que voy un poco lento.,Explica muy bien todos los temas.,Siempre,5 a 6,Muy Bueno,Casi siempre,Casi nunca,Siempre,Siempre,A Veces,A Veces,Siempre,Bueno,A Veces,Moderada,Bueno,10,70,60,reprobado,aprobado
23212530,gc12,Hombre,18,Clase Media Alta,"Posgrados (Maestría, Doctorado, etc.)",Secundaria terminada o trunca,No,Muy buena clase el profe explica muy bien todos los temas los explica con exactitud ,Pasar la materia ,No he tenido problemas con la materia ya que los temas se entienden bien por la explicación del profe ,Bien ,"Son muy bien explicados y entendibles",A veces,7 a 8,Bueno,A veces,A veces,Casi Siempre,A Veces,A Veces,Casi Siempre,A Veces,Bueno,Casi Siempre,Bastante,Bueno,0,0,0,reprobado,reprobado
23212532,ge15,Hombre,19,Clase Baja,Secundaria terminada o trunca,Preparatoria/Bachillerato Técnico terminado o trunco,Sí,"Muy buen profesor, pero en algunos temas me resulta confuso y con algunos me refiero a la mayoría ",Las mezclas y aleación de los componentes químicos para mejorar el desempeño y la calidad de materiales en mis futuros proyectos ,"El hecho de que algunos temas no conocía si no hasta apenas ahora, por ende me resulta más difícil pero sin duda siento que soy capaz de mejorarlo","Muy Bien por los temas y la calidad de maestro, pero no del todo por lo anteriormente mencionado (desconozco de los temas)","Buenas si estás familiarizado con los temas de la materia, pero no es muy eficiente si desconoces del tema como es mi caso",Nunca,5 a 6,Regular,Casi nunca,Casi siempre,Casi Nunca,Siempre,A Veces,A Veces,Nunca,Bueno,Casi Nunca,Bastante,Bueno,0,10,10,reprobado,reprobado
23212762,gc19,Mujer,21 o más,Clase Media Baja,Preparatoria/Bachillerato Técnico terminado o trunco,Preparatoria/Bachillerato Técnico terminado o trunco,No,Hasta ahora todo bien ,Algunos temas por aprender ,Se me complica cuando explica rápido ,Hasta ahora bien ,"Explica bien, y se expresa súper bien, solo a veces rápido, pero bien ",Casi Nunca,5 a 6,Bueno,A veces,A veces,Siempre,Siempre,A Veces,Casi Siempre,Siempre,Bueno,A Veces,Bastante,Bueno,0,20,20,reprobado,reprobado
23212758,gc17,Mujer,18,Clase Media Baja,Preparatoria/Bachillerato Técnico terminado o trunco,Licenciatura terminada o trunca,Sí,"buena, aunque algunos temas son elaborados y algunos profes no los explican tanto ",algunos temas ,aveces explican muy rápido que revuelven ,Normal ,regular ,Casi Nunca,7 a 8,Regular,A veces,A veces,A veces,Casi Siempre,A Veces,A Veces,A Veces,Regular,A Veces,Moderada,Ni bueno Ni Malo,0,55,55,reprobado,reprobado
23212510,ge10,Mujer,20,Clase Media,Licenciatura terminada o trunca,"Posgrados (Maestría, Doctorado, etc.)",No,Me parece una materia complicada ,Aprender sobre la materia en general ,Las clases van rápidas ,Un poco desesperante no poder comprender tan  rápido ,Es muy bueno explicando,Nunca,5 a 6,Bueno,Casi siempre,A veces,Siempre,Casi Nunca,Casi Nunca,A Veces,Casi Siempre,Regular,A Veces,Moderada,Ni bueno Ni Malo,20,40,20,reprobado,reprobado
23212512,ge11,Hombre,18,Clase Media,Secundaria terminada o trunca,Secundaria terminada o trunca,No,muy buena e interesante ,la tabla periódica ,con los cubos,muy bien ,es muy buena y muy específica ,Casi Nunca,7 a 8,Bueno,Siempre,Casi nunca,Casi Siempre,A Veces,A Veces,Casi Siempre,A Veces,Bueno,Casi Siempre,Bastante,Bueno,0,40,40,reprobado,reprobado
23212536,gc13,Hombre,18,Clase Media,Preparatoria/Bachillerato Técnico terminado o trunco,Secundaria terminada o trunca,No,"es interesante, me gusta",tabla periódica ,Los problemas y índices de Miller ,"Bien, si he aprendido ",Explica bien ,Casi Nunca,5 a 6,Regular,Casi siempre,A veces,Siempre,Siempre,A Veces,Casi Siempre,Casi Siempre,Malo,A Veces,Bastante,Bueno,10,80,70,reprobado,aprobado
23212516,gc09,Hombre,18,Clase Media Baja,Preparatoria/Bachillerato Técnico terminado o trunco,Preparatoria/Bachillerato Técnico terminado o trunco,No,Ha sido entretenida aunque a veces no la comprendo ,Sobre las características mecánicas de los objetos,Comprender el índice de Miller ,Estoy aprendiendo relativamente normal aunque a veces no comprenda por completo a la primera,Comprendo las cosas porque pone ejemplos de la vida rutinaria y me ayuda mucho imaginarlo,A veces,5 a 6,Bueno,A veces,Casi nunca,Casi Siempre,Casi Siempre,A Veces,Casi Nunca,A Veces,Bueno,Casi Siempre,Moderada,Bueno,20,20,0,reprobado,reprobado
23212757,ge01,Hombre,19,Clase Media Baja,Licenciatura terminada o trunca,Secundaria terminada o trunca,No,Sus clases son fáciles de llevar y entender ,No he pensado en eso y no podría dar una respuesta,Los problemas de densidad de celulas cristalinas es el único tema que se me a complicado un poco.,He entendido casi todos los temas asi que se podría decir que he tenido un buen aprendizaje.,Los temas son fáciles de entender por los ejemplos que nos da.,Nunca,5 a 6,Regular,A veces,Casi nunca,A veces,Casi Siempre,Nunca,Casi Nunca,Casi Siempre,Bueno,Casi Siempre,Moderada,Ni bueno Ni Malo,0,70,70,reprobado,aprobado
23212547,gc15,Hombre,18,Clase Media,Preparatoria/Bachillerato Técnico terminado o trunco,Preparatoria/Bachillerato Técnico terminado o trunco,No,"Muy buena, facil de entender y si pregunto explica bien.",El tema de conocer mejor los elementos de la tabla periodica y sus aplicaciones en la vida cotidiana.,A veces no pongo tanta atención y se me van los temas.,Satisfactorio.,Me brinda una muy buena explicación.,A veces,7 a 8,Regular,Casi siempre,A veces,Casi Siempre,Siempre,A Veces,A Veces,Casi Siempre,Regular,Casi Siempre,Bastante,Ni bueno Ni Malo,10,60,50,reprobado,reprobado
23212498,gc05,Hombre,17,Clase Media Baja,Secundaria terminada o trunca,Preparatoria/Bachillerato Técnico terminado o trunco,Sí,Regular ,Aprobar la materia ,ninguno,Bien,Regular ,Nunca,5 a 6,Regular,Siempre,Siempre,A veces,A Veces,Nunca,Nunca,Casi Nunca,Muy Bueno,A Veces,Bastante,Muy Bueno,30,100,70,reprobado,aprobado
23212524,gc11,Hombre,18,Clase Media,Licenciatura terminada o trunca,Licenciatura terminada o trunca,Sí,Muy buena,La materia ,Fórmulas ,Regular ,Muy buenas explicaciones ,Casi Nunca,5 a 6,Bueno,Siempre,Nunca,Siempre,Siempre,A Veces,A Veces,Siempre,Regular,Casi Siempre,Moderada,Bueno,40,100,60,reprobado,aprobado
23212485,ge02,Hombre,19,Clase Media,Preparatoria/Bachillerato Técnico terminado o trunco,"Posgrados (Maestría, Doctorado, etc.)",No,"Es buena la clase, todo es claro ",Aprobar la materia y aprender ,Algunos temas que son confusos ,"Bien, la verdad enseña bien ","Son buenos y claros, el profe enseña bien, si tienes dudas te las aclara ",A veces,5 a 6,Bueno,A veces,Casi nunca,Siempre,A Veces,A Veces,Casi Nunca,Casi Siempre,Regular,A Veces,Moderada,Ni bueno Ni Malo,0,30,30,reprobado,reprobado
23212760,gc18,Hombre,18,Clase Media Baja,Primaria terminada o trunca,Preparatoria/Bachillerato Técnico terminado o trunco,Sí,Agradable ,Aprobarla ,Se me hace muy laboriosa ,Regular ,Muy bueno ,A veces,Menos de 5,Regular,A veces,Casi siempre,Casi Nunca,Siempre,Casi Siempre,Siempre,Casi Siempre,Regular,Casi Siempre,Bastante,Bueno,20,90,70,reprobado,aprobado
23212522,ge12,Hombre,17,Clase Media Baja,Preparatoria/Bachillerato Técnico terminado o trunco,Secundaria terminada o trunca,No,"no está mal, pero la clase a veces es muy rápida",experimentos,a veces no llego a entender por mi velocidad de aprendizaje ,medio,"está bien, va directo al tema sin anteceder a mucha teoría ",Siempre,5 a 6,Bueno,A veces,Casi nunca,Siempre,Casi Siempre,Casi Nunca,Casi Nunca,Casi Siempre,Regular,A Veces,Bastante,Bueno,20,70,50,reprobado,aprobado
23212492,ge05,Mujer,18,Clase Media,Secundaria terminada o trunca,Secundaria terminada o trunca,No,"es entretenida, me gusta pero se me complica ",aprender más química y sus procesos ,"se me hace difícil y no logro comprenderla del todo, creo q son temas complejos para mi",bien pero quiero aprender mas,el maestro explica muy bien y es comprensivo con los que no entendemos ,Casi Nunca,5 a 6,Regular,Casi siempre,Casi siempre,Siempre,A Veces,A Veces,Casi Nunca,A Veces,Regular,Casi Siempre,Moderada,Bueno,20,30,10,reprobado,reprobado
23212759,ge08,Hombre,21 o más,Clase Baja,Preparatoria/Bachillerato Técnico terminado o trunco,"Posgrados (Maestría, Doctorado, etc.)",Sí,Muy buena ,Los temas son prácticos,Siento que vamos rápido ,Aprendo pero necesito reforzar conocimientos,Muy buena,A veces,5 a 6,Muy Bueno,Casi siempre,A veces,Casi Nunca,A Veces,Nunca,Siempre,Siempre,Muy Bueno,Siempre,Moderada,Bueno,20,40,20,reprobado,reprobado
